host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1250330884,9999907667.82
100.64.129.150,5201,UDP,0,0,1249794004,9999411740.24
100.64.129.150,5201,UDP,0,0,1249964016,9999982136.56
100.64.129.150,5201,UDP,0,0,1250098236,10000505732.00
100.64.129.150,5201,UDP,0,0,1241660272,9924806239.12
100.64.129.150,5201,UDP,0,0,1240139112,9921072684.74
100.64.129.150,5201,UDP,0,0,1240586512,9922390287.23
100.64.129.150,5201,UDP,0,0,1228891476,9841810007.98
100.64.129.150,5201,UDP,0,0,1241499208,9923518826.59
100.64.129.150,5201,UDP,0,0,1233499696,9872064733.34
100.64.129.150,5201,UDP,20466,1.473707,12426463416,9940558394.40
